Edad,Sexo,Carrera,Escala,Costo,Antigüedad,Marca,Tipo,RAM,Tiempo de uso,Factor importante,Publicidad,Sistema operativo,Satisfacción
19,Femenino,Ingeniería,B,5500,2,HP,"Empresarial (Productividad y seguridad. Ej: Lenovo ThinkPad, Dell Latitude)",16 GB,12:00:00 p.m.,Marca,Poco influenciado,Windows,Algo satisfecho
17,Masculino,Ingeniería,E,2500,0 (Menos de 1 año),Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,3:00:00 a.m.,"Precio, Oferta, Rendimiento",Neutral,Windows,Súper satisfecho
16,Masculino,Ingeniería,C,4799,0 (Menos de 1 año),Lenovo,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,6:00:00 a.m.,"Rendimiento, Portabilidad",Poco influenciado,Windows,Algo satisfecho
16,Femenino,Computación,C,4129,0 (Menos de 1 año),HP,"Convertible/Desmontable (Se pueden usar también como tablet o laptop. Ej: HP Spectre x360, Lenovo Yoga, Microsoft Surface Pro)",8 GB,2:00:00 p.m.,"Precio, Oferta, Marca, Rendimiento",Nada influenciado,Windows,Súper satisfecho
18,Masculino,Ingeniería,D,1300,4,Lenovo,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",4 GB,4:45:00 a.m.,"Marca, Rendimiento, Portabilidad, Estética",Algo Influenciado,Windows,Neutral
17,Femenino,Ingeniería,E,1300,9,Toshiba,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,5:20:00 a.m.,"Precio, Rendimiento",Neutral,Windows,Algo satisfecho
18,Masculino,Ingeniería,B,2299.9,3,Dell,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,10:00:00 a.m.,Rendimiento,Nada influenciado,Windows,Algo satisfecho
21,Masculino,Ingeniería,E,3500,3,Acer,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",12 GB,5:00:00 a.m.,"Precio, Marca, Rendimiento",Algo Influenciado,Windows,Neutral
21,Masculino,Ingeniería,C,4200,2,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,3:00:00 a.m.,"Oferta, Rendimiento",Neutral,Windows,Algo satisfecho
23,Masculino,Ingeniería,E,2150,1,HP,"Tradicional (Básicas estándar. Ej: HP Pavilion, Lenovo IdeaPad)",8 GB,8:40:00 a.m.,"Precio, Oferta, Marca, Rendimiento",Neutral,Windows,Súper satisfecho
18,Masculino,Ingeniería,C,9000,1,Asus,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",32 GB,6:00:00 a.m.,Rendimiento,Neutral,Windows,Súper satisfecho
18,Masculino,Computación,C,10000,2,Dell,"Gamer (Potentes. Ej: ASUS ROG, Acer Predator, HP Omen)",16 GB,5:00:00 a.m.,"Precio, Marca",Neutral,Windows,Algo satisfecho
